"Date","Price","Open","High","Low","Vol.","Change %"
8/1/2017,169.339996,180.199997,187.710007,163.690002,8694661,-6.03%
9/1/2017,187.089996,169.710007,191.380005,159.440002,7909759,10.24%
10/1/2017,219.279999,186.539993,223.820007,180.324997,9779570,17.55%
11/1/2017,227.639999,220.449997,233.460007,204.320007,7886195,3.26%
12/1/2017,233.770004,227.039993,242.919998,219.559998,9937645,2.96%
1/1/2018,246.550003,233.770004,263.089996,233.350006,8514682,5.47%
2/1/2018,248.979996,245.279999,257.299988,226.610001,8169145,1.51%
3/1/2018,240.009995,249.710007,271.790009,232.270004,23094950,-3.88%
4/1/2018,299.609985,240,306.940002,227.781006,12917913,24.84%
5/1/2018,312.130005,295,327.910004,294.230011,11186894,5.81%
6/1/2018,288.76001,316.929993,329.649994,287.570007,10803966,-8.89%
7/1/2018,307.880005,285.450012,333.73999,284.420013,10040124,7.86%
8/1/2018,322.75,308.23999,332.899994,308.23999,8369270,4.71%
9/1/2018,310.829987,322.75,329.880005,310.155212,7008421,-3.69%
10/1/2018,237.229996,313.070007,330.5,216.320007,19072678,-24.22%
11/1/2018,254.809998,239,256.359985,225,13688498,6.62%
12/1/2018,189.919998,260.470001,263.160004,177.699997,17681904,-27.09%
1/1/2019,233.380005,189.919998,244.979996,186.550003,14081155,22.88%
2/1/2019,247.160004,234.830002,254.979996,229.100006,7921918,5.25%
3/1/2019,222.360001,249.820007,254.470001,207.699997,9907102,-10.99%
4/1/2019,251.720001,225,255.345001,223.860001,9994688,11.88%
5/1/2019,201.399994,247.800003,259.950012,201.294998,9491655,-18.72%
6/1/2019,224.589996,200.419998,226.294998,197.339996,10842339,12.06%
7/1/2019,231.970001,227.559998,234.949997,212.320007,11397369,1.94%
8/1/2019,194.619995,230.800003,234.345001,183.039993,11754483,-15.68%
9/1/2019,208.949997,194.619995,227.287506,188.139999,10524634,7.36%
10/1/2019,221.479996,212.070007,229.809998,188.020004,11809445,4.44%
11/1/2019,231.729996,225,241.940002,224.110001,7793812,2.99%
12/1/2019,251.039993,232.660004,257.070007,220.059998,8340220,7.90%
1/1/2020,240.330002,251.039993,270.394989,239.690002,10522596,-4.27%
2/1/2020,208.160004,244,270.950012,199.029999,9714365,-14.69%
3/1/2020,151.080002,209.559998,218.429993,127.389999,21984005,-27.91%
4/1/2020,193.169998,142.070007,204.839996,136.630005,10880416,35.97%
5/1/2020,214.75,187.229996,225,152.759995,10254600,14.70%
6/1/2020,215.529999,213.410004,244.029999,200.410004,9673391,0.99%
7/1/2020,224.270004,213,234.789993,199.699997,6608680,5.29%
8/1/2020,255.380005,223.660004,259.13501,221.865005,5102584,14.18%
9/1/2020,240.619995,253.199997,267.809998,221.550003,7408357,-4.97%
10/1/2020,290.700012,243.059998,307.75,239.509995,6938694,19.60%
11/1/2020,344.859985,292.640015,363.100006,291.619995,8099389,17.84%
12/1/2020,387.829987,353.029999,389.059998,337.829987,6798253,9.86%
